id;tp;a;b;c;d;e;f;dec
1;1;0.18;19.085;25.012;8.841;19.43;59.743;3
1;2;6.156;12.904;0.806;30.578;14.328;15.616;3
1;3;9.36;9.639;7.241;5.187;44.601;23.595;3
1;4;1.633;4.024;20.762;38.154;4.726;52.382;3
1;5;6.201;12.177;5.437;26.921;13.846;37.142;3
1;6;3.909;3.293;22.912;30.306;25.215;6.041;3
1;7;7.839;14.466;0.194;24.757;23.882;46.41;3
1;8;9.458;7.101;21.553;28.763;8.34;23.603;3
1;9;0.991;7.255;0.649;6.276;17.103;55.061;3
1;10;1.757;17.835;18.161;2.042;20.133;9.896;3
1;11;3.077;8.473;3.926;22.072;30.69;40.897;3
1;12;4.149;3.76;18.783;9.817;5.904;31.709;3
1;13;0.233;18.25;4.613;7.435;41.278;12.523;3
1;14;7.788;10.996;26.795;2.623;27.075;8.05;3
1;15;6.37;10.038;22.736;1.897;43.469;42.317;3
1;16;8.954;18.051;0.819;33.257;14.663;3.627;3
1;17;6.438;5.989;6.207;19.583;47.809;42.978;3
1;18;6.483;7.875;3.762;17.999;16.08;18.21;3
1;19;9.411;16.876;13.189;2.284;34.342;5.935;3
1;20;6.398;9.132;17.229;34.465;18.123;30.72;3
2;1;6.052;1.704;25.2;6.601;26.555;20.147;1
2;2;9.369;16.813;13.905;38.451;27.177;45.978;1
2;3;2.044;16.092;23.567;10.974;43.704;0.519;1
2;4;4.504;5.446;10.501;39.349;33.267;33.583;1
2;5;4.497;5.109;1.064;12.3;24.639;25.002;1
2;6;3.189;17.898;1.983;6.582;4.402;0.605;1
2;7;2.686;10.789;1.409;3.99;31.223;45.595;1
2;8;9.588;8.962;10.42;13.703;26.498;9.717;1
2;9;2.142;13.097;1.216;10.05;47.475;30.009;1
2;10;6.303;16.68;0.721;11.025;32.075;31.465;1
2;11;2.031;15.115;16.075;29.449;8.943;50.341;1
2;12;0.36;0.645;22.913;23.712;7.299;2.715;1
2;13;6.952;11.523;26.43;30.126;11.39;28.921;1
2;14;4.007;10.596;10.347;20.726;35.006;1.694;1
2;15;9.333;5.678;16.097;8.518;20.052;35.685;1
2;16;4.824;17.144;15.897;18.528;10.756;1.789;1
2;17;0.18;13.42;28.339;9.165;38.046;33.361;1
2;18;0.064;14.805;26.137;30.247;31.056;51.242;1
2;19;8.071;13.913;11.754;8.771;48.799;59.112;1
2;20;6.909;1.773;3.236;12.58;23.682;2.965;1
3;1;9.427;9.701;1.058;34.222;42.086;17.691;3
3;2;1.705;1.999;4.088;39.529;44.206;21.088;3
3;3;6.711;12.875;18.675;31.044;44.602;15.936;3
3;4;4.259;10.007;26.333;26.023;32.585;3.997;3
3;5;1.048;0.809;19.011;39.647;33.38;48.628;3
3;6;2.077;2.539;19.308;23.469;25.212;5.293;3
3;7;5.634;19.371;0.423;17.76;24.922;52.613;3
3;8;0.685;19.507;28.621;9.441;13.074;3.302;3
3;9;3.771;0.659;24.823;24.865;42.769;33.926;3
3;10;9.515;8.374;13.024;19.158;40.55;29.816;3
3;11;6.128;10.963;27.95;12.317;47.721;16.787;3
3;12;8.401;9.519;2.522;14.108;35.12;53.324;3
3;13;8.704;15.941;14.194;15.178;16.576;56.671;3
3;14;4.914;4.446;20.712;17.364;39.796;37.477;3
3;15;0.156;3.928;24.691;25.957;0.333;15.648;3
3;16;5.312;13.924;21.326;11.498;5.334;23.769;3
3;17;3.796;2.78;27.284;14.898;31.948;32.9;3
3;18;2.844;11.564;11.384;20.195;6.231;1.072;3
3;19;6.703;4.502;27.287;16.561;40.563;58.668;3
3;20;6.078;13.059;28.144;31.821;5.628;55.676;3
4;1;5.223;3.851;16.942;18.349;18.295;38.332;3
4;2;8.006;3.483;11.222;32.24;39.998;56.826;3
4;3;8.803;10.987;12.423;2.711;43.672;35.896;3
4;4;7.15;7.971;4.75;31.407;14.419;32.87;3
4;5;2.117;19.147;10.91;19.478;34.486;5.764;3
4;6;0.026;4.784;19.943;23.169;3.896;19.29;3
4;7;3.964;7.85;6.453;30.265;12.488;7.5;3
4;8;0.817;8.485;0.983;21.662;26.572;51.354;3
4;9;2.944;18.957;18.293;23.309;23.486;24.485;3
4;10;5.573;0.971;27.121;33.966;49.039;56.957;3
4;11;2.684;17.631;13.432;38.059;35.235;36.171;3
4;12;8.445;14.687;12.174;25.659;10.886;10.779;3
4;13;2.069;19.545;11.602;1.479;42.234;7.474;3
4;14;7.395;1.858;3.95;39.357;43.143;46.202;3
4;15;3.881;3.665;23.591;0.448;40.26;36.118;3
4;16;8.1;1.498;2.184;14.965;12.813;3.023;3
4;17;6.589;3.432;20.771;31.392;29.304;50.816;3
4;18;5.752;10.1;16.638;9.089;27.593;48.596;3
4;19;9.127;16.177;16.059;13.883;27.074;32.631;3
4;20;2.846;17.121;20.977;34.921;9.985;15.785;3
5;1;6.245;11.681;4.604;25.951;7.337;29.911;2
5;2;2.588;13.915;16.117;38.355;27.863;24.86;2
5;3;1.61;14.314;20.902;18.761;11.913;42.962;2
5;4;2.812;5.941;18.879;7.991;15.467;11.3;2
5;5;5.667;13.641;28.899;36.51;23.779;24.92;2
5;6;1.033;13.966;19.181;7.966;39.688;31.232;2
5;7;4.492;5.052;16.222;9.839;33.537;46.695;2
5;8;7.265;12.979;14.223;21.338;35.37;45.957;2
5;9;0.036;6.933;5.18;2.468;25.972;44.598;2
5;10;6.331;11.571;15.908;25.806;3.601;9.907;2
5;11;0.748;12.205;23.236;9.553;14.908;29.675;2
5;12;7.171;12.132;27.104;11.185;15.069;18.351;2
5;13;1.765;6.053;0.227;22.668;32.466;57.578;2
5;14;9.182;8.586;27.638;16.539;10.759;52.522;2
5;15;6.43;2.261;9.115;9.638;38.232;19.48;2
5;16;9.236;16.24;21.742;22.652;32.386;0.341;2
5;17;5.122;7.659;29.564;0.408;30.217;52.858;2
5;18;2.626;0.507;7.758;19.528;9.163;8.154;2
5;19;6.825;0.831;24.884;36.963;48.608;43.986;2
5;20;0.632;17.356;7.349;32.857;7.695;7.094;2
6;1;0.649;9.556;3.682;30.224;8.045;38.724;3
6;2;5.42;13.143;28.687;2.275;36.89;15.756;3
6;3;0.115;16.266;15.598;25.488;19.363;27.031;3
6;4;9.995;19.764;19.207;33.198;2.408;20.324;3
6;5;6.139;18.332;22.865;21.52;49.066;17.144;3
6;6;2.981;3.48;4.037;4.878;37.38;10.383;3
6;7;5.944;17.833;6.409;23.203;48.246;51.54;3
6;8;3.278;9.338;2.69;0.512;28.419;7.611;3
6;9;5.676;6.63;3.704;0.922;49.389;42.673;3
6;10;2.733;11.151;9.769;15.145;46.095;41.348;3
6;11;7.799;17.039;3.979;8.506;9.47;27.379;3
6;12;3.101;2.249;0.747;20.531;27.967;50.469;3
6;13;6.89;15.735;25.161;0.157;33.221;1.527;3
6;14;6.792;18.315;18.502;21.375;5.86;23.291;3
6;15;9.755;5.665;7.453;3.633;43.6;38.56;3
6;16;7.956;0.85;11.966;29.571;43.887;15.53;3
6;17;4.607;6.714;8.502;19.086;25.307;39.031;3
6;18;2.027;12.039;11.666;34.898;29.759;55.472;3
6;19;9.491;11.966;8.297;6.327;0.995;49.365;3
6;20;1.377;13.436;11.154;25.94;4.236;20.608;3
7;1;2.52;5.063;25.512;13.037;21.147;0.335;3
7;2;0.723;4.761;0.122;4.855;37.041;9.797;3
7;3;5.852;18.846;6.555;21.993;33.87;38.087;3
7;4;4.131;6.411;25.16;19.953;2.239;10.869;3
7;5;4.807;9.092;11.489;8.613;28.224;23.094;3
7;6;2.851;16.911;10.562;34.115;31.993;53.891;3
7;7;4.565;0.905;7.044;13.176;27.175;42.86;3
7;8;7.318;14.561;21.326;14.064;19.116;0.41;3
7;9;0.472;10.814;22.638;3.574;6.397;36.684;3
7;10;4.035;4.124;9.103;18.365;43.763;45.378;3
7;11;8.776;17.972;6.433;16.935;21.284;55.662;3
7;12;7.571;17.252;22.353;16.482;7.167;12.646;3
7;13;1.642;8.468;0.842;34.969;38.73;12.748;3
7;14;2.604;18.502;8.921;27.486;14.738;45.626;3
7;15;7.236;4.506;9.417;18.194;40.999;4.103;3
7;16;8.668;19.078;27.135;33.165;13.695;47.591;3
7;17;4.452;8.11;9.593;10.937;18.113;25.221;3
7;18;7.112;18.25;19.038;20.004;28.583;20.5;3
7;19;0.57;17.058;9.35;19.828;11.323;40.258;3
7;20;2.409;0.666;5.765;14.385;41.803;46.061;3
8;1;5.46;13.629;2.261;37.973;13.235;27.99;3
8;2;3.822;6.84;21.217;36.715;25.469;38.997;3
8;3;2.424;18.931;22.891;8.506;0.505;17.425;3
8;4;7.686;14.367;22.433;8.909;48.68;25.823;3
8;5;3.231;11.131;28.398;13.312;28.474;40.818;3
8;6;4.105;15.076;28.089;25.56;13.434;39.619;3
8;7;1.832;13.586;26.613;2.996;9.708;12.746;3
8;8;8.572;15.494;1.386;1.467;12.48;27.12;3
8;9;9.737;18.481;24.448;9.708;19.925;20.485;3
8;10;7.316;10.209;7.686;26.013;20.737;5.687;3
8;11;7.32;9.991;6.182;0.762;4.153;44.475;3
8;12;1.723;0.264;11.355;12.506;18.702;35.681;3
8;13;6.582;4.477;3.227;36.52;11.338;44.53;3
8;14;1.483;1.107;4.441;4.196;32.235;2.812;3
8;15;9.938;14.94;1.305;13.047;2.146;21.705;3
