id;tp;a;b;c;d;e;f;dec
1;1;6.914;7.177;11.214;0.524;20.523;33.625;3
1;2;4.329;7.295;3.197;16.571;13.511;57.515;3
1;3;9.235;6.441;21.047;14.251;20.172;37.336;3
1;4;7.15;7.362;18.845;5.87;1.095;7.027;3
1;5;7.246;18.823;6.111;32.686;32.102;24.61;3
1;6;2.438;8.308;19.516;37.14;28.56;23.546;3
1;7;1.813;15.547;8.455;21.598;7.935;13.642;3
1;8;1.17;15.516;27.105;4.553;47.997;7.923;3
1;9;6.507;3.999;24.007;3.454;6.888;31.027;3
1;10;4.32;8.434;15.636;6.382;28.786;5.335;3
1;11;5.542;13.159;14.622;35.487;17.063;0.402;3
1;12;9.652;12.304;29.529;23.36;13.935;53.164;3
1;13;4.518;3.875;9.231;23.336;12.271;25.232;3
1;14;5.913;4.135;21.846;35.704;32.265;41.02;3
1;15;9.654;2.332;22.842;5.617;29.194;59.386;3
1;16;3.655;16.077;25.309;30.825;18.411;20.55;3
1;17;9.35;16.177;15.369;14.362;25.965;41.806;3
1;18;8.67;13.647;2.962;12.61;12.747;20.097;3
1;19;4.065;16.444;21.126;15.09;26.158;15.578;3
1;20;0.835;4.223;9.251;6.697;15.398;35.571;3
2;1;8.523;1.869;10.965;29.922;45.159;16.529;1
2;2;8.235;5.951;8.057;2.45;43.001;28.152;1
2;3;5.377;1.203;7.823;14.783;14.767;18.392;1
2;4;3.374;2.155;2.932;22.438;2.318;40.431;1
2;5;2.949;11.645;23.462;9.114;25.524;12.353;1
2;6;8.491;18.223;28.893;15.508;31.959;23.533;1
2;7;0.096;6.48;0.711;31.685;18.464;44.046;1
2;8;0.479;16.144;9.843;17.407;17.159;53.758;1
2;9;7.438;1.114;8.559;29.856;14.904;44.254;1
2;10;2.725;12.045;24.135;27.948;24.121;49.207;1
2;11;1.0;17.692;6.009;7.439;29.159;19.052;1
2;12;5.305;13.223;13.746;23.601;17.864;23.155;1
2;13;5.866;2.857;9.023;38.872;0.881;6.078;1
2;14;6.915;8.792;3.425;1.611;11.675;23.622;1
2;15;9.253;6.605;6.081;15.694;42.417;23.578;1
2;16;4.437;12.3;0.847;35.473;12.066;45.401;1
2;17;9.285;6.438;2.976;3.671;23.338;43.019;1
2;18;1.75;4.187;9.813;21.125;20.898;13.434;1
2;19;8.04;9.074;7.428;14.309;45.24;50.16;1
2;20;5.78;4.313;6.667;38.749;36.832;0.432;1
3;1;4.595;15.393;11.487;6.096;42.373;1.97;2
3;2;6.212;1.293;22.816;38.651;32.388;32.534;2
3;3;4.096;3.895;6.469;33.319;14.59;43.767;2
3;4;4.442;11.433;9.63;8.861;40.61;59.658;2
3;5;8.58;2.01;28.401;29.073;39.932;26.184;2
3;6;5.113;11.05;18.965;8.871;27.938;46.035;2
3;7;2.977;6.412;14.243;36.549;7.705;42.341;2
3;8;7.512;5.228;2.457;34.742;43.859;46.807;2
3;9;4.139;3.211;17.326;23.264;13.096;15.872;2
3;10;8.115;6.413;11.607;4.865;11.898;41.628;2
3;11;1.93;12.896;7.07;36.696;48.435;55.419;2
3;12;4.186;17.592;22.269;23.798;22.105;50.735;2
3;13;2.847;12.549;29.617;9.633;37.7;4.548;2
3;14;9.633;14.161;29.695;1.927;44.889;59.548;2
3;15;4.688;19.362;12.881;23.355;6.457;44.948;2
3;16;9.636;13.637;10.256;11.27;3.152;27.302;2
3;17;7.209;8.992;22.924;4.535;48.743;21.009;2
3;18;8.065;16.208;3.315;18.269;2.46;21.356;2
3;19;5.717;6.446;4.85;8.951;29.733;3.107;2
3;20;3.307;13.199;22.561;15.115;13.303;1.691;2
4;1;6.653;6.013;14.671;34.099;48.557;18.309;3
4;2;2.031;1.932;2.626;19.98;30.481;42.342;3
4;3;2.893;11.746;2.293;20.885;12.488;27.461;3
4;4;2.59;1.111;27.017;38.114;41.258;46.286;3
4;5;6.063;11.919;10.689;9.166;24.569;33.658;3
4;6;5.149;16.907;18.58;34.818;35.823;45.012;3
4;7;1.987;12.829;24.124;27.79;35.709;39.904;3
4;8;5.555;7.184;22.519;18.997;31.588;36.328;3
4;9;7.975;8.732;7.032;22.256;1.868;5.491;3
4;10;3.758;17.709;12.679;36.986;15.675;35.093;3
4;11;3.559;9.47;19.533;16.791;14.654;14.168;3
4;12;5.633;4.693;2.678;23.127;11.739;20.468;3
4;13;6.002;2.169;29.98;29.12;1.234;21.63;3
4;14;1.591;12.263;8.904;34.966;15.686;32.132;3
4;15;4.873;9.501;10.686;38.667;5.58;43.222;3
4;16;5.834;9.432;2.028;9.257;34.662;29.862;3
4;17;0.715;9.285;8.378;21.673;35.754;23.838;3
4;18;6.114;0.583;16.715;13.321;17.109;48.395;3
4;19;9.808;0.213;3.358;0.837;42.833;45.174;3
4;20;0.826;1.279;24.465;34.689;12.896;20.237;3
5;1;1.919;19.302;20.52;10.171;49.886;45.433;3
5;2;9.378;5.463;27.366;4.408;13.587;39.672;3
5;3;2.935;18.512;14.912;21.339;45.019;33.245;3
5;4;5.134;5.704;13.039;16.199;28.548;43.256;3
5;5;3.777;1.8;9.141;1.097;11.037;37.717;3
5;6;2.145;0.721;26.74;10.024;3.083;9.169;3
5;7;3.885;16.774;6.398;17.288;31.792;2.796;3
5;8;0.649;8.621;15.261;24.283;27.335;32.011;3
5;9;6.285;7.708;6.517;33.881;27.382;41.652;3
5;10;6.064;7.616;5.537;18.662;3.252;3.578;3
5;11;8.64;7.558;23.674;9.57;1.486;10.048;3
5;12;6.539;7.859;12.768;3.251;44.692;2.197;3
5;13;9.7;19.75;6.344;29.806;22.348;4.922;3
5;14;6.461;17.844;6.599;4.056;4.992;42.825;3
5;15;2.94;12.869;18.427;23.136;44.457;14.102;3
5;16;1.472;2.0;19.238;16.528;0.99;52.989;3
5;17;8.0;8.536;6.384;17.009;37.382;5.804;3
5;18;5.244;0.104;23.097;23.405;17.877;40.154;3
5;19;6.613;15.803;19.244;32.722;24.482;12.159;3
5;20;7.589;3.605;6.132;35.744;43.818;20.741;3
6;1;7.905;17.506;22.394;11.325;39.867;1.075;3
6;2;0.496;4.631;15.269;19.283;10.281;50.096;3
6;3;4.563;8.103;4.838;28.705;49.643;1.596;3
6;4;1.769;2.131;9.991;9.204;29.935;1.425;3
6;5;4.777;12.967;0.849;27.782;13.156;3.61;3
6;6;3.708;1.298;21.98;26.657;38.117;22.301;3
6;7;1.582;14.215;0.451;0.846;42.684;52.964;3
6;8;8.078;6.614;1.769;25.769;27.817;56.337;3
6;9;6.882;16.656;17.879;1.439;40.505;26.339;3
6;10;7.807;0.192;18.791;21.169;31.605;20.071;3
6;11;5.896;3.298;25.293;20.083;20.622;59.129;3
6;12;7.173;1.735;22.652;8.23;12.245;56.943;3
6;13;8.223;7.027;4.138;0.153;6.178;47.24;3
6;14;5.142;19.812;7.546;22.532;20.124;59.874;3
6;15;0.753;12.026;19.658;12.392;2.837;0.21;3
6;16;8.969;17.748;3.967;20.973;34.329;42.47;3
6;17;6.906;13.322;17.956;5.331;27.186;16.999;3
6;18;3.588;7.947;7.824;36.884;42.043;40.624;3
6;19;4.532;2.556;20.709;36.217;13.576;34.211;3
6;20;9.631;19.417;14.948;16.161;5.182;47.032;3
7;1;8.526;0.788;14.812;2.21;4.332;9.115;1
7;2;4.458;6.809;5.751;33.257;41.478;28.896;1
7;3;9.918;8.47;1.278;7.419;15.05;31.011;1
7;4;6.357;6.716;1.117;15.833;14.644;55.534;1
7;5;8.64;16.429;5.882;30.508;19.292;20.439;1
7;6;5.21;12.001;13.655;37.437;40.38;28.543;1
7;7;9.547;3.591;25.028;23.827;28.222;12.962;1
7;8;3.848;7.561;25.949;14.647;5.1;0.403;1
7;9;7.519;12.022;19.423;38.1;3.185;39.644;1
7;10;8.323;16.619;29.338;13.383;4.841;27.631;1
7;11;1.855;13.496;9.386;10.395;15.287;10.245;1
7;12;4.991;0.596;29.532;17.573;0.248;38.033;1
7;13;0.971;3.198;5.917;26.081;18.362;12.09;1
