id;tp;a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;dec
1;1;0.44;1.95;5.05;3.86;7.79;2.66;5.17;4.82;3.93;9.16;4.65;8.01;5.59;6.91;6.14;1
1;2;8.15;0.66;1.61;8.86;5.71;1.41;5.73;8.31;3.62;1.26;6.5;2.77;0.14;3.13;3.11;1
1;3;6.27;6.16;5.35;8.16;0.82;3.7;1.57;0.19;7.61;7.53;5.44;8.04;1.79;9.57;4.31;1
1;4;0.15;2.04;5.12;3.94;8.62;2.6;9.18;4.86;9.36;0.47;8.03;4.17;6.76;0.87;8.16;1
1;5;5.92;2.35;8.77;6.37;4.82;4.71;8.37;0.2;5.98;6.26;5.64;2.43;1.76;3.43;5.26;1
1;6;1.64;4.04;7.89;8.74;2.42;2.82;9.85;0.49;5.86;6.14;5.42;5.0;2.9;8.5;7.98;1
1;7;1.32;7.82;7.54;8.59;0.29;2.98;1.71;7.0;7.94;3.51;3.14;0.51;4.11;9.98;3.48;1
1;8;6.38;0.41;5.31;2.44;4.33;3.02;0.78;7.58;5.8;6.44;2.69;9.01;2.09;8.71;3.26;1
1;9;8.69;0.98;1.4;3.85;0.45;5.88;6.58;5.15;6.22;3.88;4.83;5.31;0.09;9.06;7.35;1
1;10;7.02;1.93;8.78;8.62;5.75;2.48;0.32;1.06;0.6;3.54;5.75;4.13;2.03;5.97;8.08;1
2;1;5.09;3.38;7.22;1.34;5.6;3.97;8.79;7.2;9.75;8.39;4.81;7.43;4.11;6.9;6.91;1
2;2;8.64;3.59;4.23;8.11;2.3;9.52;3.14;3.21;7.12;9.5;6.7;9.47;7.51;8.03;8.47;1
2;3;6.37;8.42;6.59;9.34;8.31;5.88;0.87;4.07;6.15;7.06;2.69;4.18;7.57;5.96;8.77;1
2;4;9.73;1.68;9.96;9.98;6.05;6.98;3.59;5.2;8.47;6.12;4.26;0.4;1.68;3.09;6.33;1
2;5;8.5;3.18;2.91;3.3;7.63;1.88;8.56;6.52;8.27;7.69;3.88;7.98;2.65;4.49;8.53;1
